net.sf.saxon:BasicTransformerFactory:public:net.sf.saxon.TransformerFactoryImpl::<init>:public:0::void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:registerExtensionFunction:public:1:net.sf.saxon.lib.ExtensionFunctionDefinition:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getIntegratedFunctionLibrary:public:0::net.sf.saxon.functions.IntegratedFunctionLibrary::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getBuiltInExtensionLibraryList:public:0::net.sf.saxon.functions.FunctionLibraryList::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:addExtensionBinders:public:1:net.sf.saxon.functions.FunctionLibraryList:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getSystemFunction:public:2:net.sf.saxon.om.StructuredQName,int:net.sf.saxon.om.Function::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:newUserFunction:public:2:boolean,net.sf.saxon.trans.FunctionStreamability:net.sf.saxon.expr.instruct.UserFunction::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:registerCollation:public:2:java.lang.String,net.sf.saxon.lib.StringCollator:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setCollationURIResolver:public:1:net.sf.saxon.lib.CollationURIResolver:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getCollationURIResolver:public:0::net.sf.saxon.lib.CollationURIResolver::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getCollation:public:1:java.lang.String:net.sf.saxon.lib.StringCollator::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getCollation:public:2:java.lang.String,java.lang.String:net.sf.saxon.lib.StringCollator::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getCollation:public:3:java.lang.String,java.lang.String,java.lang.String:net.sf.saxon.lib.StringCollator::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getDefaultCollationName:public:0::java.lang.String::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setDefaultCollection:public:1:java.lang.String:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getDefaultCollection:public:0::java.lang.String::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setCollectionURIResolver:public:1:net.sf.saxon.lib.CollectionURIResolver:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getCollectionURIResolver:public:0::net.sf.saxon.lib.CollectionURIResolver::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setCollectionFinder:public:1:net.sf.saxon.lib.CollectionFinder:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getCollectionFinder:public:0::net.sf.saxon.lib.CollectionFinder::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:registerCollection:public:2:java.lang.String,net.sf.saxon.lib.ResourceCollection:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:registerFileExtension:public:2:java.lang.String,java.lang.String:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:registerMediaType:public:2:java.lang.String,net.sf.saxon.lib.ResourceFactory:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getMediaTypeForFileExtension:public:1:java.lang.String:java.lang.String::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getResourceFactoryForMediaType:public:1:java.lang.String:net.sf.saxon.lib.ResourceFactory::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setLocalizerFactory:public:1:net.sf.saxon.lib.LocalizerFactory:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getLocalizerFactory:public:0::net.sf.saxon.lib.LocalizerFactory::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setDefaultLanguage:public:1:java.lang.String:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getDefaultLanguage:public:0::java.lang.String::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setDefaultCountry:public:1:java.lang.String:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getDefaultCountry:public:0::java.lang.String::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:setDefaultRegexEngine:public:1:java.lang.String:void::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:getDefaultRegexEngine:public:0::java.lang.String::3PP
net.sf.saxon:Configuration:public:java.lang.Object:net.sf.saxon.lib.SourceResolver,net.sf.saxon.om.NotationSet:makeNumberer:public:2:java.lang.String,java.lang.String:net.sf.saxon.lib.Numberer::3PP
