com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findRenameByField:public:3:com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.AnnotatedField,com.fasterxml.jackson.databind.PropertyName:com.fasterxml.jackson.databind.PropertyName::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findInjectableValueId:public:1:com.fasterxml.jackson.databind.introspect.AnnotatedMember:java.lang.Object::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findSerializer:public:1:com.fasterxml.jackson.databind.introspect.Annotated:java.lang.Object::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findKeySerializer:public:1:com.fasterxml.jackson.databind.introspect.Annotated:java.lang.Object::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findContentSerializer:public:1:com.fasterxml.jackson.databind.introspect.Annotated:java.lang.Object::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findNullSerializer:public:1:com.fasterxml.jackson.databind.introspect.Annotated:java.lang.Object::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findSerializationTyping:public:1:com.fasterxml.jackson.databind.introspect.Annotated:com.fasterxml.jackson.databind.annotation.JsonSerialize$Typing::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findSerializationConverter:public:1:com.fasterxml.jackson.databind.introspect.Annotated:java.lang.Object::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findSerializationContentConverter:public:1:com.fasterxml.jackson.databind.introspect.AnnotatedMember:java.lang.Object::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findPropertyInclusion:public:1:com.fasterxml.jackson.databind.introspect.Annotated:com.fasterxml.jackson.annotation.JsonInclude$Value::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findSerializationInclusion:public:2:com.fasterxml.jackson.databind.introspect.Annotated,com.fasterxml.jackson.annotation.JsonInclude$Include:com.fasterxml.jackson.annotation.JsonInclude$Include::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findSerializationInclusionForContent:public:2:com.fasterxml.jackson.databind.introspect.Annotated,com.fasterxml.jackson.annotation.JsonInclude$Include:com.fasterxml.jackson.annotation.JsonInclude$Include::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:refineSerializationType:public:3:com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated,com.fasterxml.jackson.databind.JavaType:com.fasterxml.jackson.databind.JavaType::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findSerializationType:public:1:com.fasterxml.jackson.databind.introspect.Annotated:java.lang.Class::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findSerializationKeyType:public:2:com.fasterxml.jackson.databind.introspect.Annotated,com.fasterxml.jackson.databind.JavaType:java.lang.Class::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findSerializationContentType:public:2:com.fasterxml.jackson.databind.introspect.Annotated,com.fasterxml.jackson.databind.JavaType:java.lang.Class::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findSerializationPropertyOrder:public:1:com.fasterxml.jackson.databind.introspect.AnnotatedClass:java.lang.String[]::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findSerializationSortAlphabetically:public:1:com.fasterxml.jackson.databind.introspect.Annotated:java.lang.Boolean::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findAndAddVirtualProperties:public:3:com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.AnnotatedClass,java.util.List:void::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findNameForSerialization:public:1:com.fasterxml.jackson.databind.introspect.Annotated:com.fasterxml.jackson.databind.PropertyName::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:hasAsKey:public:2:com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated:java.lang.Boolean::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:hasAsValue:public:1:com.fasterxml.jackson.databind.introspect.Annotated:java.lang.Boolean::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:hasAnyGetter:public:1:com.fasterxml.jackson.databind.introspect.Annotated:java.lang.Boolean::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findEnumValues:public:3:java.lang.Class,java.lang.Enum[],java.lang.String[]:java.lang.String[]::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findEnumAliases:public:3:java.lang.Class,java.lang.Enum[],java.lang.String[][]:void::3PP
